,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"7,893","8,607","8,458","8,637","8,787","9,182","8,479","9,103","8,731","8,970","8,028","8,549","8,359"
Expenses +,"6,449","7,051","7,230","7,025","6,923","7,061","6,762","7,047","7,039","7,276","6,788","6,913","6,923"
Operating Profit,"1,443","1,556","1,228","1,611","1,865","2,121","1,716","2,056","1,691","1,694","1,240","1,637","1,436"
OPM %,18%,18%,15%,19%,21%,23%,20%,23%,19%,19%,15%,19%,17%
Other Income +,-26,88,118,122,104,228,194,186,212,193,25,193,-60
Interest,23,29,35,41,39,46,51,54,54,55,63,56,53
Depreciation,205,208,216,214,220,198,209,220,226,228,242,256,301
Profit before tax,"1,189","1,407","1,094","1,478","1,710","2,105","1,651","1,968","1,624","1,604",959,"1,518","1,022"
Tax %,26%,26%,27%,26%,26%,25%,25%,25%,21%,26%,28%,26%,31%
Net Profit +,874,"1,036",804,"1,097","1,258","1,575","1,232","1,475","1,275","1,187",694,"1,128",701
EPS in Rs,8.87,10.60,8.16,11.18,12.87,16.16,12.57,15.09,13.10,12.20,7.24,11.58,7.22
Raw PDF,,,,,,,,,,,,,
