,Dec 2013,"Mar 2015
            
              15m",Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"2,065","2,694","2,423","2,474","2,634","2,931","3,056","1,708","2,388","3,452","3,479","3,489"
Expenses +,"1,728","2,343","2,129","2,178","2,271","2,441","2,210","1,540","1,960","2,647","2,682","2,751"
Operating Profit,338,351,294,296,364,490,846,169,427,804,797,737
OPM %,16%,13%,12%,12%,14%,17%,28%,10%,18%,23%,23%,21%
Other Income +,18,75,97,18,49,66,66,87,54,39,19,189
Interest,13,18,16,15,15,14,129,108,99,118,126,128
Depreciation,59,79,79,65,60,64,296,265,242,295,339,371
Profit before tax,283,329,297,234,337,478,487,-117,140,430,351,426
Tax %,33%,30%,27%,32%,35%,31%,32%,-23%,26%,25%,25%,22%
Net Profit +,191,231,217,159,221,329,329,-89,103,323,263,331
EPS in Rs,14.86,18.00,16.91,12.37,17.16,25.60,25.59,-6.95,8.01,25.13,20.42,25.73
Dividend Payout %,22%,18%,21%,28%,23%,24%,16%,-58%,680%,54%,59%,74%
