,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,228,193,234,239,259,260,362,426,539,671,813,825,917
Expenses +,144,137,184,165,132,146,173,280,388,324,358,533,362
Operating Profit,85,56,50,74,127,114,189,146,151,347,456,293,555
OPM %,37%,29%,21%,31%,49%,44%,52%,34%,28%,52%,56%,35%,60%
Other Income +,21,16,21,20,22,430,24,22,29,26,30,26,135
Interest,8,8,7,6,6,7,9,0,0,0,0,0,0
Depreciation,13,10,12,17,21,21,23,25,26,24,29,30,30
Profit before tax,85,54,51,71,122,516,182,143,154,349,457,288,660
Tax %,16%,25%,42%,33%,27%,15%,35%,26%,30%,24%,24%,24%,25%
Net Profit +,72,40,29,48,89,440,118,106,107,264,346,219,494
EPS in Rs,1.84,1.08,0.83,1.27,2.24,10.89,2.97,2.66,2.64,6.53,8.54,5.41,12.17
Raw PDF,,,,,,,,,,,,,
