,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,659,711,700,706,910,972,"1,137","1,422"
Expenses +,383,450,413,409,486,551,632,770
Operating Profit,276,261,287,296,424,421,505,652
OPM %,42%,37%,41%,42%,47%,43%,44%,46%
Other Income +,-2,1,21,30,17,27,41,53
Interest,8,10,10,8,7,8,8,8
Depreciation,40,50,51,43,52,60,70,78
Profit before tax,227,201,247,274,383,380,467,619
Tax %,35%,35%,30%,25%,25%,25%,25%,25%
Net Profit +,146,131,172,205,287,285,351,465
EPS in Rs,29.93,26.75,35.24,42.08,58.68,58.22,71.96,95.12
Dividend Payout %,66%,84%,35%,150%,66%,65%,65%,76%
