,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,243,237,242,244,249,261,275,290,310,331,365,370,356
Expenses +,131,139,136,135,140,151,153,160,167,182,195,197,197
Operating Profit,112,98,106,108,109,110,122,129,143,150,170,173,159
OPM %,46%,41%,44%,44%,44%,42%,44%,45%,46%,45%,47%,47%,45%
Other Income +,4,4,7,7,8,10,10,10,11,12,13,15,13
Interest,2,2,2,2,2,2,2,2,2,2,2,2,2
Depreciation,16,14,15,16,16,16,17,18,18,17,18,20,23
Profit before tax,99,87,97,98,99,101,112,119,135,142,162,166,148
Tax %,25%,26%,26%,25%,25%,25%,25%,25%,23%,25%,26%,25%,24%
Net Profit +,74,65,72,74,74,76,84,89,103,107,121,124,113
EPS in Rs,15.10,13.24,14.72,15.05,15.23,15.58,17.20,18.17,21.06,22.00,24.85,25.42,23.07
Raw PDF,,,,,,,,,,,,,
