,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales +,"3,180","3,392","3,298","3,370","3,584","3,905","3,877","2,997","4,192","4,774","5,075","5,365","5,462"
Expenses +,"2,492","2,675","2,397","2,369","2,551","2,834","2,723","2,183","3,125","3,663","3,877","4,086","4,170"
Operating Profit,688,718,901,"1,001","1,033","1,071","1,154",814,"1,067","1,111","1,198","1,278","1,292"
OPM %,22%,21%,27%,30%,29%,27%,30%,27%,25%,23%,24%,24%,24%
Other Income +,106,47,90,86,84,84,64,62,47,67,83,88,97
Interest,2,2,1,1,1,1,1,4,2,4,8,9,10
Depreciation,30,36,39,45,46,56,70,87,83,81,92,100,101
Profit before tax,762,726,951,"1,040","1,070","1,098","1,147",785,"1,029","1,093","1,181","1,258","1,278"
Tax %,33%,35%,35%,36%,35%,36%,28%,26%,26%,25%,27%,26%,
Net Profit +,509,475,615,670,692,708,827,583,758,815,864,927,944
EPS in Rs,5.14,4.80,6.22,6.78,6.99,7.16,8.36,5.89,7.66,8.24,8.74,9.37,9.55
Dividend Payout %,68%,78%,72%,81%,100%,70%,66%,93%,72%,79%,86%,139%,
