,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,502","1,696","1,957","2,185","1,934","2,218","1,922","2,541","2,319","2,316","2,509","3,096","2,470"
Expenses +,"1,294","1,481","1,667","1,772","1,604","1,876","1,575","1,999","1,781","1,842","2,025","2,499","1,945"
Operating Profit,208,215,290,413,330,342,346,543,539,473,484,598,525
OPM %,14%,13%,15%,19%,17%,15%,18%,21%,23%,20%,19%,19%,21%
Other Income +,103,84,102,157,159,155,128,153,186,171,157,168,217
Interest,5,2,5,3,7,8,7,6,6,5,3,3,5
Depreciation,35,34,36,35,38,36,38,42,42,44,45,49,46
Profit before tax,272,263,351,533,444,453,429,647,676,595,594,714,690
Tax %,20%,25%,24%,22%,21%,22%,23%,23%,20%,22%,24%,22%,23%
Net Profit +,216,198,267,414,349,354,329,499,539,463,449,558,530
EPS in Rs,7.80,7.15,9.64,14.93,12.59,12.76,11.87,18.00,19.44,16.69,16.21,20.15,19.10
Raw PDF,,,,,,,,,,,,,
