,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,87,73,78,60,30,47,86,99,144,152,146,119,114
Expenses +,21,21,24,21,24,22,31,35,40,42,41,54,45
Operating Profit,66,53,54,39,6,25,55,64,104,110,104,65,69
OPM %,76%,72%,70%,65%,21%,54%,64%,65%,72%,73%,72%,54%,60%
Other Income +,8,8,9,10,10,-0,-0,-0,-0,-0,-0,-0,0
Interest,6,7,5,7,6,6,6,7,9,9,11,12,12
Depreciation,0,0,0,0,0,0,0,0,0,0,1,1,1
Profit before tax,67,53,58,41,10,19,49,57,95,100,93,52,56
Tax %,29%,27%,28%,28%,40%,31%,28%,27%,28%,28%,28%,27%,29%
Net Profit +,48,39,42,30,6,13,35,42,68,72,67,38,40
EPS in Rs,2.70,2.19,2.39,1.68,0.34,0.73,1.99,2.35,3.87,4.07,3.79,2.12,2.25
Raw PDF,,,,,,,,,,,,,
