,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,806,864,815,917,947,"1,027","1,017","1,073"
Expenses +,737,791,745,836,856,928,925,964
Operating Profit,69,74,70,80,91,99,91,109
OPM %,9%,9%,9%,9%,10%,10%,9%,10%
Other Income +,5,5,4,6,6,5,9,5
Interest,2,2,2,2,2,2,3,3
Depreciation,14,14,14,18,19,19,19,24
Profit before tax,57,62,58,66,76,82,79,87
Tax %,27%,25%,29%,26%,24%,23%,23%,26%
Net Profit +,42,46,41,49,58,63,60,64
EPS in Rs,2.93,3.23,2.87,3.41,4.01,4.38,4.18,4.48
Raw PDF,,,,,,,,
