,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,810,745,917,802,787,762,957,805,930,815,"1,011",949,974
Expenses +,634,596,660,574,618,618,668,587,673,584,689,658,641
Operating Profit,175,149,257,229,170,144,289,218,257,231,322,292,333
OPM %,22%,20%,28%,29%,22%,19%,30%,27%,28%,28%,32%,31%,34%
Other Income +,"1,322",31,22,12,38,54,28,-135,32,36,39,35,41
Interest,0,1,0,0,1,0,0,0,1,0,0,0,1
Depreciation,15,16,16,16,17,16,18,17,18,16,17,19,15
Profit before tax,"1,482",163,262,224,190,181,299,65,271,249,344,308,359
Tax %,18%,27%,26%,27%,30%,27%,27%,30%,28%,27%,27%,25%,27%
Net Profit +,"1,219",119,193,165,133,132,218,46,194,182,252,230,263
EPS in Rs,71.96,7.04,11.42,9.71,7.88,7.81,12.84,2.70,11.48,10.76,14.91,13.57,15.52
Raw PDF,,,,,,,,,,,,,
