,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,611","1,562","1,657",921,"1,347","1,386","1,433","1,141","1,754","2,561","3,593","5,076"
Expenses +,"1,488","1,500","1,565","1,082","1,362","1,344","1,391","1,060","1,613","2,412","3,357","4,654"
Operating Profit,123,62,92,-161,-15,42,42,81,141,149,235,421
OPM %,8%,4%,6%,-17%,-1%,3%,3%,7%,8%,6%,7%,8%
Other Income +,82,61,191,217,179,169,215,165,154,202,300,335
Interest,1,6,4,9,8,5,3,10,2,7,13,10
Depreciation,23,27,28,27,29,27,30,29,36,39,41,42
Profit before tax,181,90,252,20,128,179,224,207,257,305,481,703
Tax %,36%,43%,35%,43%,28%,39%,27%,26%,26%,25%,26%,25%
Net Profit +,117,52,164,11,92,110,163,153,190,228,357,527
EPS in Rs,94.13,41.77,132.79,9.26,8.07,9.60,14.27,13.40,16.55,19.91,31.19,46.04
Dividend Payout %,21%,48%,15%,472%,55%,72%,50%,37%,35%,31%,30%,30%
