,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,225,241,251,269,282,295,305,315,331,348,354,355,372
Expenses +,167,184,191,213,215,226,227,238,223,226,230,236,253
Operating Profit,57,56,61,56,67,69,78,77,108,122,124,119,119
OPM %,25%,23%,24%,21%,24%,23%,26%,24%,33%,35%,35%,34%,32%
Other Income +,1,47,102,31,55,35,42,77,53,66,45,109,92
Interest,1,3,2,2,2,2,2,2,2,2,2,2,1
Depreciation,6,8,9,9,7,8,8,13,8,8,8,8,7
Profit before tax,51,93,152,76,112,93,110,139,151,177,159,218,204
Tax %,8%,26%,26%,26%,26%,26%,25%,28%,25%,24%,24%,17%,25%
Net Profit +,47,68,113,56,83,69,82,100,114,135,121,181,154
EPS in Rs,7.63,11.18,18.43,9.12,13.57,11.57,13.65,16.61,19.01,22.52,20.16,30.08,25.57
Raw PDF,,,,,,,,,,,,,
