,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,625,785,809,793,762,896,882,845,862,"1,004","1,001",963,949
Expenses +,500,612,625,618,599,664,638,621,664,724,730,709,723
Operating Profit,125,173,185,175,164,232,244,223,198,280,271,255,226
OPM %,20%,22%,23%,22%,21%,26%,28%,26%,23%,28%,27%,26%,24%
Other Income +,2,1,1,3,5,6,8,7,17,6,10,8,14
Interest,2,6,8,8,14,12,10,12,9,6,2,3,1
Depreciation,22,26,28,28,32,31,32,34,41,41,42,42,46
Profit before tax,103,142,150,141,122,194,209,184,165,240,237,218,193
Tax %,18%,26%,26%,25%,28%,27%,28%,27%,23%,26%,26%,25%,25%
Net Profit +,85,105,111,106,88,142,151,134,126,177,175,162,146
EPS in Rs,5.49,6.79,7.18,6.86,5.66,9.19,9.72,8.61,8.13,11.39,11.24,10.45,9.36
Raw PDF,,,,,,,,,,,,,
