,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,418,448,431,525,490,591,564,603,544,646,616,726,595
Expenses +,363,387,377,448,432,506,493,522,483,555,529,628,528
Operating Profit,55,61,54,77,57,85,70,81,61,91,88,98,68
OPM %,13%,14%,13%,15%,12%,14%,12%,13%,11%,14%,14%,14%,11%
Other Income +,11,15,12,11,10,11,11,9,13,13,10,14,16
Interest,1,1,1,2,1,1,2,2,1,1,1,0,1
Depreciation,10,11,12,12,12,12,12,14,13,13,14,14,14
Profit before tax,55,64,53,73,55,83,67,75,60,90,83,98,69
Tax %,26%,26%,27%,24%,26%,24%,25%,27%,25%,24%,26%,25%,25%
Net Profit +,40,47,39,56,41,63,50,55,45,68,62,73,52
EPS in Rs,2.32,2.72,2.24,3.21,2.35,3.61,2.88,3.16,2.56,3.91,3.55,4.20,2.96
Raw PDF,,,,,,,,,,,,,
