,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,396","2,230","1,702","1,816","2,079","2,173","1,828","2,362","3,104","2,357","2,757","3,144","3,174"
Expenses +,"1,319","2,057","1,585","1,520","1,868","2,001","1,651","1,823","2,580","1,715","2,246","2,327","3,084"
Operating Profit,77,174,118,296,211,172,177,539,524,642,511,817,90
OPM %,6%,8%,7%,16%,10%,8%,10%,23%,17%,27%,19%,26%,3%
Other Income +,129,136,164,176,211,233,251,269,349,271,254,286,310
Interest,1,1,1,1,2,1,1,1,1,1,1,1,1
Depreciation,23,18,18,18,20,20,20,20,23,23,23,40,29
Profit before tax,182,290,261,452,400,383,407,786,849,889,740,"1,063",370
Tax %,20%,25%,25%,25%,26%,25%,25%,25%,26%,25%,25%,28%,21%
Net Profit +,159,225,214,354,326,314,333,627,663,696,585,807,325
EPS in Rs,3.94,5.57,5.30,8.78,8.09,7.79,8.25,15.54,16.43,17.26,14.50,20.01,8.06
Raw PDF,,,,,,,,,,,,,
