,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"28,142","23,931","12,607","11,825","16,450","29,439","26,304","30,000","11,795","3,527",3,3
Expenses +,"28,001","23,931","12,668","11,937","16,428","29,256","26,436","30,045","11,338","3,634",165,141
Operating Profit,141,0,-62,-112,23,183,-132,-45,457,-107,-162,-139
OPM %,0%,0%,-0%,-1%,0%,1%,-0%,-0%,4%,-3%,"-4,800%","-5,155%"
Other Income +,31,168,5,136,49,36,-8,-859,-126,"2,000",368,263
Interest,87,40,31,23,18,68,144,203,225,122,1,5
Depreciation,17,24,6,7,5,6,6,6,5,5,4,5
Profit before tax,67,105,-94,-6,48,146,-291,"-1,112",101,"1,766",200,114
Tax %,11%,26%,3%,435%,21%,25%,0%,-29%,360%,12%,4%,24%
Net Profit +,-18,-42,-97,-30,38,109,-292,-789,-262,"1,562",192,87
EPS in Rs,-0.12,-0.28,-0.64,-0.20,0.25,0.72,-1.94,-5.26,-1.75,10.42,1.28,0.58
Dividend Payout %,-83%,-59%,-31%,-101%,80%,41%,0%,0%,0%,0%,0%,0%
