,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,278","3,411","3,520","3,506","3,361","3,252","3,276","3,338","3,412","3,422","3,536","3,561","3,710"
Expenses +,"2,701","2,811","2,902","2,889","2,763","2,665","2,681","2,737","2,773","2,804","2,888","2,883","3,007"
Operating Profit,577,600,618,618,599,587,596,601,639,619,648,678,703
OPM %,18%,18%,18%,18%,18%,18%,18%,18%,19%,18%,18%,19%,19%
Other Income +,39,36,43,40,43,50,49,54,64,74,59,63,60
Interest,21,23,26,24,24,24,34,53,50,50,40,39,36
Depreciation,80,80,80,82,83,87,89,103,131,105,104,132,135
Profit before tax,516,533,555,551,534,526,522,499,522,537,563,569,591
Tax %,24%,25%,25%,25%,24%,25%,25%,25%,25%,25%,25%,25%,24%
Net Profit +,392,402,418,412,405,396,392,374,393,405,423,428,446
EPS in Rs,20.88,21.37,22.24,21.89,21.51,21.01,20.78,19.79,20.81,21.39,22.37,22.56,23.49
Raw PDF,,,,,,,,,,,,,
