,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,338,316,332,354,348,354,397,423,468,505,571,588,567
Expenses +,130,137,138,141,140,152,156,164,178,189,197,202,201
Operating Profit,208,179,194,213,209,202,241,259,291,316,374,386,365
OPM %,62%,57%,58%,60%,60%,57%,61%,61%,62%,63%,66%,66%,64%
Other Income +,34,-17,82,62,40,117,78,107,92,131,121,15,23
Interest,1,1,1,1,1,1,2,2,2,2,2,2,2
Depreciation,7,7,7,8,8,8,7,7,7,7,7,8,9
Profit before tax,234,155,268,266,239,310,310,358,374,439,486,392,378
Tax %,25%,26%,23%,23%,17%,24%,21%,21%,8%,24%,26%,25%,21%
Net Profit +,175,114,206,205,198,236,244,284,343,332,360,295,299
EPS in Rs,2.81,1.83,3.31,3.29,3.18,3.78,3.91,4.53,5.44,5.26,5.69,4.66,4.70
Raw PDF,,,,,,,,,,,,,
