,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"4,067","4,394","5,826","7,425","8,447","9,943","8,087","6,953","7,691","8,876","10,433","12,039"
Expenses +,"3,827","4,105","5,510","7,017","7,992","9,574","7,982","6,821","7,483","8,532","9,916","11,415"
Operating Profit,240,289,317,408,455,369,105,133,207,345,517,624
OPM %,6%,7%,5%,5%,5%,4%,1%,2%,3%,4%,5%,5%
Other Income +,134,147,98,84,163,207,207,180,121,38,51,138
Interest,24,41,3,31,28,3,8,15,9,6,4,0
Depreciation,1,2,2,5,6,4,6,6,5,5,5,7
Profit before tax,349,393,409,454,584,569,297,292,315,372,559,755
Tax %,26%,29%,29%,28%,32%,31%,66%,18%,24%,25%,26%,26%
Net Profit +,257,278,289,326,396,392,100,240,238,278,414,557
EPS in Rs,0.95,1.03,1.07,1.31,1.40,1.39,0.29,0.84,0.83,0.99,1.49,2.00
Dividend Payout %,23%,24%,41%,41%,26%,31%,31%,37%,40%,36%,28%,33%
