,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"155,949","182,894","168,656","169,213","164,067","163,824","147,614","167,357","172,137","168,025","158,329","166,097","170,812"
Expenses +,"131,900","164,041","155,311","147,346","143,527","133,029","119,534","146,996","148,913","146,398","137,834","141,819","148,727"
Operating Profit,"24,049","18,853","13,346","21,867","20,539","30,795","28,080","20,360","23,224","21,627","20,495","24,278","22,085"
OPM %,15%,10%,8%,13%,13%,19%,19%,12%,13%,13%,13%,15%,13%
Other Income +,607,"1,619","2,315","2,807","-4,786","3,069","3,673","4,299","3,375","3,615","4,163","2,411","3,465"
Interest,"1,491","1,640","1,993","2,188","2,068","2,364","3,243","3,203","3,608","3,616","3,749","3,670","3,500"
Depreciation,"7,380","6,611","4,443","6,784","6,744","7,078","7,079","7,494","8,420","8,456","8,209","9,497","9,043"
Profit before tax,"15,784","12,221","9,224","15,702","6,941","24,422","21,431","13,962","14,570","13,170","12,700","13,522","13,006"
Tax %,24%,30%,26%,26%,7%,27%,25%,25%,24%,26%,22%,28%,32%
Net Profit +,"12,061","8,581","6,830","11,665","6,478","17,893","16,171","10,511","11,096","9,810","9,878","9,784","8,856"
EPS in Rs,8.39,9.49,6.60,9.13,3.57,11.64,10.89,8.51,7.97,7.96,8.17,6.85,5.82
Raw PDF,,,,,,,,,,,,,
