,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,973,776,"1,045","1,137",883,853,"1,138","1,133","1,002",932,"1,135","1,248",992
Expenses +,808,709,831,847,734,638,853,824,745,813,845,877,782
Operating Profit,165,67,214,290,149,215,285,310,257,118,290,371,210
OPM %,17%,9%,20%,26%,17%,25%,25%,27%,26%,13%,26%,30%,21%
Other Income +,6,6,7,9,14,10,16,16,14,7,8,10,19
Interest,7,1,1,4,4,3,2,3,22,-0,2,7,6
Depreciation,13,14,14,14,15,15,14,14,15,13,12,10,10
Profit before tax,151,58,206,282,146,207,284,309,234,112,285,364,213
Tax %,32%,26%,25%,26%,-13%,27%,26%,26%,34%,28%,26%,26%,27%
Net Profit +,103,43,154,207,165,151,211,229,154,81,212,269,156
EPS in Rs,31.68,13.11,47.57,63.91,50.84,46.59,64.91,70.52,47.56,24.97,65.28,82.74,48.09
Raw PDF,,,,,,,,,,,,,
