,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,177,187,222,218,357,545,521,442,576,737,803,"1,171"
Expenses +,160,184,209,209,320,507,461,312,377,516,554,894
Operating Profit,17,2,13,9,36,38,60,130,199,221,249,277
OPM %,10%,1%,6%,4%,10%,7%,12%,29%,35%,30%,31%,24%
Other Income +,11,11,2,13,10,56,11,31,23,54,61,63
Interest,3,1,0,2,3,7,7,3,5,6,3,6
Depreciation,3,6,5,4,4,3,5,6,13,21,36,58
Profit before tax,22,6,9,16,39,85,60,152,204,248,271,276
Tax %,23%,-5%,25%,46%,27%,36%,28%,25%,25%,25%,27%,26%
Net Profit +,17,6,7,9,28,54,44,113,153,185,198,204
EPS in Rs,1.09,0.39,0.39,0.48,1.64,3.11,2.53,6.47,7.91,9.60,10.24,10.58
Dividend Payout %,14%,39%,38%,31%,18%,10%,6%,31%,38%,31%,39%,42%
