,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"10,927","11,913","11,276","13,261","16,120","19,779","21,052","21,644","28,799","40,575","51,084","60,456"
Expenses +,"9,880","10,761","10,337","12,097","14,476","17,785","18,589","19,919","25,455","35,693","45,792","54,762"
Operating Profit,"1,047","1,153",939,"1,164","1,644","1,994","2,463","1,725","3,344","4,882","5,292","5,694"
OPM %,10%,10%,8%,9%,10%,10%,12%,8%,12%,12%,10%,9%
Other Income +,117,67,69,-42,70,178,153,180,177,306,534,487
Interest,87,81,42,38,53,53,166,203,218,300,619,953
Depreciation,68,90,98,111,131,163,348,375,399,441,584,693
Profit before tax,"1,010","1,049",868,973,"1,530","1,957","2,102","1,327","2,904","4,447","4,623","4,535"
Tax %,27%,22%,22%,28%,28%,29%,29%,27%,24%,26%,24%,26%
Net Profit +,735,816,675,697,"1,102","1,389","1,493",974,"2,198","3,274","3,496","3,337"
EPS in Rs,8.28,9.19,7.60,8.01,12.73,15.82,16.91,10.96,24.48,36.61,39.38,37.59
Dividend Payout %,25%,25%,29%,32%,29%,32%,24%,37%,31%,27%,28%,29%
