,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,709","2,439","1,682","1,613","1,766","2,275","1,890","1,824","2,133","2,475","2,117","2,000","2,323"
Expenses +,"1,448","2,173","1,463","1,536","1,712","2,052","1,706","1,678","1,991","2,190","1,890","1,859","2,136"
Operating Profit,261,266,219,77,54,223,184,146,143,285,227,141,187
OPM %,15%,11%,13%,5%,3%,10%,10%,8%,7%,12%,11%,7%,8%
Other Income +,13,10,14,-20,12,10,12,25,26,7,10,-16,8
Interest,2,1,1,2,1,2,1,2,2,2,2,3,6
Depreciation,53,58,52,50,51,51,51,52,58,58,57,61,57
Profit before tax,219,218,181,5,13,180,144,117,110,233,178,61,132
Tax %,25%,26%,26%,135%,27%,24%,26%,27%,26%,26%,26%,37%,26%
Net Profit +,164,162,134,-2,10,136,107,86,82,174,132,39,98
EPS in Rs,6.18,6.13,5.07,-0.07,0.37,5.15,4.06,3.23,3.07,6.56,5.00,1.45,3.69
Raw PDF,,,,,,,,,,,,,
