,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,710","1,979","2,493","2,245","3,378","4,921","4,448","4,062"
Expenses +,"1,348","1,468","1,875","1,983","2,740","3,274","3,353","3,581"
Operating Profit,362,511,618,261,638,"1,647","1,095",481
OPM %,21%,26%,25%,12%,19%,33%,25%,12%
Other Income +,18,20,52,12,54,58,167,211
Interest,42,29,75,70,59,37,24,38
Depreciation,116,176,198,229,213,189,185,210
Profit before tax,222,326,397,-26,420,"1,478","1,053",444
Tax %,-0%,9%,-2%,-83%,18%,26%,25%,24%
Net Profit +,223,296,406,-4,346,"1,087",786,336
EPS in Rs,33.79,44.82,56.08,-0.47,46.49,142.62,104.77,47.11
Dividend Payout %,12%,11%,9%,-213%,13%,7%,8%,11%
